escenario,clasificador,n_muestra,n_total,replica,riesgo_verdadero,riesgo_cv_mean,riesgo_cv_std,brecha_bayes
Balanceado_MismaCov,KNN-1,100,200,8,,0.31000000000000005,0.08306623862918074,0.06530000000000005
Balanceado_MismaCov,KNN-5,100,200,8,,0.255,0.02915475947422653,0.010300000000000004
Balanceado_MismaCov,KNN-21,100,200,8,,0.22999999999999998,0.05338539126015657,-0.014700000000000019
Balanceado_MismaCov,GB,100,200,8,,0.22999999999999998,0.02915475947422653,-0.014700000000000019
Balanceado_MismaCov,Bayes,100,200,9,0.2447,0.2447,0.0,0.0
Balanceado_MismaCov,GNB,100,200,9,,0.21000000000000002,0.0374165738677394,-0.03469999999999998
Balanceado_MismaCov,LDA,100,200,9,,0.21000000000000002,0.0374165738677394,-0.03469999999999998
Balanceado_MismaCov,QDA,100,200,9,,0.215,0.03391164991562635,-0.029700000000000004
Balanceado_MismaCov,KNN-1,100,200,9,,0.30999999999999994,0.040620192023179784,0.06529999999999994
Balanceado_MismaCov,KNN-5,100,200,9,,0.275,0.035355339059327376,0.03030000000000002
Balanceado_MismaCov,KNN-21,100,200,9,,0.20999999999999996,0.025495097567963917,-0.034700000000000036
Balanceado_MismaCov,GB,100,200,9,,0.21000000000000002,0.046368092477478515,-0.03469999999999998
Balanceado_MismaCov,Bayes,100,200,10,0.2447,0.2447,0.0,0.0
Balanceado_MismaCov,GNB,100,200,10,,0.21000000000000002,0.043588989435406726,-0.03469999999999998
Balanceado_MismaCov,LDA,100,200,10,,0.21000000000000002,0.043588989435406726,-0.03469999999999998
Balanceado_MismaCov,QDA,100,200,10,,0.21500000000000002,0.04636809247747851,-0.029699999999999976
Balanceado_MismaCov,KNN-1,100,200,10,,0.305,0.04301162633521313,0.06029999999999999
Balanceado_MismaCov,KNN-5,100,200,10,,0.24500000000000002,0.0714142842854285,0.00030000000000002247
Balanceado_MismaCov,KNN-21,100,200,10,,0.205,0.057879184513951125,-0.03970000000000001
Balanceado_MismaCov,GB,100,200,10,,0.195,0.04847679857416328,-0.049699999999999994
Balanceado_MismaCov,Bayes,100,200,11,0.2447,0.2447,0.0,0.0
Balanceado_MismaCov,GNB,100,200,11,,0.175,0.04472135954999579,-0.06970000000000001
Balanceado_MismaCov,LDA,100,200,11,,0.175,0.05916079783099616,-0.06970000000000001
Balanceado_MismaCov,QDA,100,200,11,,0.185,0.046368092477478515,-0.0597
Balanceado_MismaCov,KNN-1,100,200,11,,0.23500000000000004,0.08000000000000002,-0.009699999999999959
Balanceado_MismaCov,KNN-5,100,200,11,,0.23499999999999996,0.048989794855663564,-0.009700000000000042
Balanceado_MismaCov,KNN-21,100,200,11,,0.185,0.051478150704935,-0.0597
Balanceado_MismaCov,GB,100,200,11,,0.175,0.05244044240850757,-0.06970000000000001
Balanceado_MismaCov,Bayes,100,200,12,0.2447,0.2447,0.0,0.0
Balanceado_MismaCov,GNB,100,200,12,,0.31,0.09027735042633894,0.0653
Balanceado_MismaCov,LDA,100,200,12,,0.32,0.09273618495495704,0.0753
Balanceado_MismaCov,QDA,100,200,12,,0.305,0.09273618495495704,0.06029999999999999
Balanceado_MismaCov,KNN-1,100,200,12,,0.41,0.0888819441731559,0.16529999999999997
Balanceado_MismaCov,KNN-5,100,200,12,,0.355,0.10173494974687904,0.11029999999999998
Balanceado_MismaCov,KNN-21,100,200,12,,0.36500000000000005,0.04636809247747853,0.12030000000000005
Balanceado_MismaCov,GB,100,200,12,,0.32999999999999996,0.08426149773176357,0.08529999999999996
Balanceado_MismaCov,Bayes,100,200,13,0.2447,0.2447,0.0,0.0
Balanceado_MismaCov,GNB,100,200,13,,0.24,0.056124860801609104,-0.00470000000000001
Balanceado_MismaCov,LDA,100,200,13,,0.24500000000000002,0.06204836822995428,0.00030000000000002247
Balanceado_MismaCov,QDA,100,200,13,,0.22999999999999998,0.04301162633521313,-0.014700000000000019
Balanceado_MismaCov,KNN-1,100,200,13,,0.31500000000000006,0.06442049363362565,0.07030000000000006
Balanceado_MismaCov,KNN-5,100,200,13,,0.255,0.06403124237432847,0.010300000000000004
Balanceado_MismaCov,KNN-21,100,200,13,,0.24000000000000005,0.06442049363362565,-0.004699999999999954
Balanceado_MismaCov,GB,100,200,13,,0.225,0.06519202405202651,-0.019699999999999995
Balanceado_MismaCov,Bayes,100,200,14,0.2447,0.2447,0.0,0.0
Balanceado_MismaCov,GNB,100,200,14,,0.22999999999999998,0.036742346141747706,-0.014700000000000019
Balanceado_MismaCov,LDA,100,200,14,,0.225,0.038729833462074204,-0.019699999999999995
Balanceado_MismaCov,QDA,100,200,14,,0.24,0.033911649915626375,-0.00470000000000001
Balanceado_MismaCov,KNN-1,100,200,14,,0.28500000000000003,0.040620192023179805,0.04030000000000003
Balanceado_MismaCov,KNN-5,100,200,14,,0.295,0.03999999999999999,0.050299999999999984
Balanceado_MismaCov,KNN-21,100,200,14,,0.24,0.03741657386773945,-0.00470000000000001
Balanceado_MismaCov,GB,100,200,14,,0.22999999999999998,0.02915475947422653,-0.014700000000000019
Balanceado_MismaCov,Bayes,100,200,15,0.2447,0.2447,0.0,0.0
Balanceado_MismaCov,GNB,100,200,15,,0.27,0.045825756949558406,0.025300000000000017
Balanceado_MismaCov,LDA,100,200,15,,0.265,0.04636809247747852,0.020300000000000012
Balanceado_MismaCov,QDA,100,200,15,,0.275,0.04183300132670378,0.03030000000000002
Balanceado_MismaCov,KNN-1,100,200,15,,0.41,0.09027735042633894,0.16529999999999997
Balanceado_MismaCov,KNN-5,100,200,15,,0.32,0.07810249675906657,0.0753
Balanceado_MismaCov,KNN-21,100,200,15,,0.265,0.037416573867739444,0.020300000000000012
